,0
0,0.06468231
1,0.08270646
2,0.042529352
3,0.040946584
4,0.06250505
5,0.044687804
6,0.04850736
7,0.022721387
8,0.03668738
9,0.04060647
10,0.043995053
11,0.052342933
12,0.019807076
13,0.042438224
14,0.08280375
15,0.06751488
16,0.042088322
17,0.025172435
18,0.080049984
19,0.07931537
20,0.0838634
21,0.044267707
22,0.06716523
23,0.067285605
24,0.03641969
25,0.03900722
26,0.04059291
27,0.054764744
28,0.035289925
29,0.009902374
30,0.084974304
31,0.016247205
32,0.015470057
33,0.027297415
34,0.07747853
35,0.061925247
36,0.07723556
37,0.1083025
38,0.016004058
39,0.016698206
40,0.025215775
41,0.014659067
42,0.04052257
43,0.058139183
44,0.06665318
45,0.051123146
46,0.07123363
47,0.04376925
48,0.08224708
49,0.04393604
50,0.043488126
51,0.016262585
52,0.09821679
53,0.05853166
54,0.0027986146
55,0.04138758
56,0.032459848
57,0.030904895
58,0.0443858
59,0.043972123
60,0.0086997105
61,0.06364414
62,0.02330962
63,0.043215733
64,0.03979751
65,-0.007656486
66,0.03356888
67,0.070809
68,0.043534584
69,0.01127813
70,0.023237135
71,0.041573066
72,0.04089722
73,0.06774844
74,0.06058205
75,0.041420523
76,0.062277764
77,0.04604972
78,0.08374537
79,0.031445272
80,0.043082792
81,0.0669767
82,0.042259138
83,0.016217444
84,0.07226666
85,0.05133801
86,0.07677753
87,0.07466775
88,0.064255826
89,0.036449637
90,0.057987556
91,0.05613616
92,0.056542244
93,0.073258065
94,0.031461816
95,0.01619756
96,0.07083991
97,0.068427525
98,0.014603828
99,0.03649182
100,0.073416114
101,0.08195629
102,0.043445475
103,0.049528737
104,-0.009750028
105,0.048228834
106,0.06456903
107,0.04588764
108,-0.00295712
109,0.037704416
110,0.042553958
111,0.01714596
112,0.059820097
113,0.03251717
114,0.06221235
115,0.067280896
116,0.033966094
117,0.07434827
118,0.041880894
119,0.041949276
120,-0.0063197943
121,0.07157333
122,0.061801184
123,0.080577694
124,0.043863628
125,0.04161217
126,0.040654056
127,0.044555042
