,0,1,2,3,4
0,-0.13060789,-0.088056095,-0.06392113,-0.07909093,-0.027330589
1,-0.23529346,-0.15743978,-0.17410097,0.025656255,-0.10326714
2,-0.031604905,-0.14763764,-0.102927595,-0.17083803,-0.25008163
3,0.010036946,-0.17725986,-0.16714218,-0.40789574,-0.268449
4,0.25105423,0.24753697,0.024463097,-0.22673783,-0.18280238
,0,1,2,3,4
0,0.035779446,0.09038273,0.010376646,0.034644693,0.0050730845
1,0.044159517,0.054166257,-0.009897957,0.04616933,0.019826543
2,-0.042131666,-0.04230537,-0.016633892,0.08850637,-0.102676064
3,0.00176264,0.028622812,0.06184382,0.018224252,0.02282263
4,-0.05627545,-0.032226913,-0.018299667,0.075550295,-0.0621957
,0,1,2,3,4
0,-0.16561605,-0.34355465,-0.2378735,0.02046798,0.060937352
1,-0.32842097,-0.19231997,-0.068480745,0.010123476,-0.019665053
2,-0.2503451,-0.02403824,0.05709583,0.064620756,0.10724299
3,-0.18661906,-0.21465704,-0.1829831,-0.19948977,-0.13166009
4,-0.01979329,0.051343024,0.13674401,0.08617656,-0.055575896
,0,1,2,3,4
0,-0.010476509,-0.0043851878,0.042208236,-0.033506215,0.07055415
1,0.039443877,-0.04273801,-0.0066622216,-0.032227952,0.0154151535
2,0.06738436,0.06359275,0.003399622,0.13860382,0.07646929
3,0.015746083,-0.16118759,-0.017738378,0.091743305,0.12518002
4,-0.0037433996,0.036763072,-0.026527107,-0.101748034,0.079922765
,0,1,2,3,4
0,-0.068122745,0.057538267,0.11325506,-0.13142097,0.099852964
1,-0.1409512,-0.03237187,-0.07950828,-0.0013571897,0.10740738
2,-0.053158894,-0.14417386,-0.2104821,-0.28062496,-0.20377934
3,-0.000542263,0.083003536,0.061016325,-0.013890996,-0.047369584
4,0.059365995,0.056819715,-0.06248679,0.017680284,0.009836018
,0,1,2,3,4
0,0.04013963,-0.012132595,-0.0032628542,0.07655532,0.014118178
1,0.03654688,-0.07524104,0.026120786,-0.021864746,0.0043439274
2,0.07469743,-0.09325149,0.08011365,0.034950744,-0.019056903
3,-0.079610854,0.0065881135,0.13724461,0.10009492,-0.025822176
4,-0.07952594,-0.058635112,0.13123576,0.040964514,-0.058067955
,0,1,2,3,4
0,0.015297168,-0.13935313,0.07003338,-0.07926032,-0.066411786
1,-0.063710384,-0.094268076,-0.030156964,-0.14160718,-0.022038981
2,-0.06457386,-0.020346655,0.14960569,0.025823724,0.09128037
3,0.005451332,-0.020866876,0.059295896,0.042691547,0.16469274
4,-0.075443596,-0.10761663,-0.05302118,0.0044194334,0.04086802
,0,1,2,3,4
0,-0.026877379,0.08029148,0.025965834,-0.06315731,0.104112975
1,0.0771459,0.106129214,0.046799246,0.039356645,0.096978284
2,-0.0009947702,0.006137906,0.0769402,-0.022648793,-0.015871547
3,0.059159983,0.033817854,0.0744766,0.04491642,-0.006230649
4,-0.06061567,-0.1824864,0.008425625,0.022773668,-0.023954444
,0,1,2,3,4
0,0.114715874,0.0052730874,-0.038446195,0.06577409,0.05101533
1,0.014447027,-0.096801475,0.050137974,0.076010734,-0.028108234
2,0.036351703,0.016614372,-0.02206427,-0.0059144073,-0.09104299
3,-0.008925403,-0.040115997,0.058643453,-0.02159825,-0.09600863
4,-0.07150708,-0.04389327,0.14477257,0.06250888,-0.103267334
,0,1,2,3,4
0,-0.04905719,0.025632069,-0.081894554,-0.038696367,0.055158902
1,-0.039339755,-0.04651983,-0.0135028,0.0011035945,0.12526394
2,0.015235127,-0.020935245,0.06873928,-0.05503634,-0.13508478
3,0.118442304,0.044396035,0.10364207,-0.08306918,-0.021920959
4,0.0051420857,-0.11600254,-0.0067977775,-0.032776125,0.056310978
,0,1,2,3,4
0,0.06562097,0.12930803,0.115077734,-0.017589629,-0.012489035
1,0.045336366,0.05965239,0.008551729,0.053053133,0.05217711
2,-0.032342006,-0.1450042,-0.12409116,-0.20140819,-0.11388951
3,-0.00014959995,-0.050103735,-0.07001372,-0.06556849,-0.044324968
4,0.0021295366,-0.10040989,-0.10005529,-0.028574547,-0.011676775
,0,1,2,3,4
0,-0.2514244,-0.12860398,0.02151719,-0.16531642,-0.081750266
1,-0.1750925,-0.06708066,-0.12419035,-0.053831827,0.09890662
2,-0.12647878,-0.15001842,-0.097583026,-0.32410213,-0.1466376
3,0.017706713,0.016505128,0.047800127,-0.073494695,0.056886345
4,0.07052554,0.011808939,-0.025589656,0.0119908545,0.120937556
,0,1,2,3,4
0,0.063014865,-0.06210995,-0.004496747,0.011901585,-0.0058152387
1,-0.078385405,0.0210036,-0.045264676,0.0017799783,0.041872587
2,0.045873165,0.11589392,0.10823956,0.053435,0.056997262
3,-0.066266626,-0.09851406,-0.024473187,0.113097906,-0.00013450262
4,-0.06905237,0.082415804,-0.06028872,-0.033815153,0.029316703
,0,1,2,3,4
0,0.07229658,0.07533834,-0.12598188,0.05050441,0.100263394
1,0.056963164,-0.048819695,0.006410875,0.0370731,-0.015746146
2,-0.024948077,-0.009213747,-0.01025639,0.014929772,-0.028852738
3,0.008727652,-0.02111321,-0.047784988,-0.0064284387,0.031567384
4,-0.115040615,-0.11756991,-0.021216048,0.09833342,0.06263115
,0,1,2,3,4
0,0.083344154,0.12759335,0.09454655,0.06152926,-0.0042588655
1,0.065443344,0.040622503,-0.048236284,0.0055990256,-0.036575094
2,0.063515864,-0.051293112,0.0040593934,0.10345676,0.0022341125
3,0.082839355,-0.09197486,-0.08477311,0.10551205,0.096928105
4,-0.056133404,-0.072702184,-0.11942608,-0.045962982,0.09158094
,0,1,2,3,4
0,-0.035713404,0.11646034,0.18646967,0.015447125,0.12120522
1,0.06730326,0.089676894,0.16316082,-0.011916893,0.0905009
2,0.011744717,-0.10448774,-0.040688828,-0.10309446,-0.18085177
3,-0.03826545,-0.0035610003,-0.012617228,-0.25967628,-0.07383397
4,0.08854253,-0.012803221,-0.1910572,-0.120911464,0.08597952
,0,1,2,3,4
0,-0.12864684,-0.16796806,-0.053349067,0.042158343,0.095280595
1,-0.07036466,-0.18100409,-0.025413288,-0.041729916,0.079585925
2,-0.14630674,-0.08852637,-0.102150604,-0.047312483,0.2546996
3,-0.04536717,0.0044009495,0.039557476,0.0042203497,0.12574212
4,0.0061770226,-0.00077471323,0.080463804,0.14942494,-0.072513066
,0,1,2,3,4
0,0.031886414,0.03321264,0.028955815,0.08559643,0.017052263
1,0.0075416146,0.000965587,0.021915663,0.0053482004,-0.083573215
2,0.07114401,-0.025084436,0.046531357,-0.0969641,-0.13349473
3,0.010895239,-0.036907006,-0.13508093,-0.15214825,-0.018025866
4,0.006569682,-0.14338583,-0.069422305,-0.09180674,-0.017163312
,0,1,2,3,4
0,-0.061326336,0.020628963,-0.013009164,0.05555857,0.07550705
1,0.13074088,0.027738659,-0.03412142,0.06963429,-0.11215575
2,-0.09423436,-0.15235221,-0.28542188,-0.17376709,-0.13116829
3,0.0029220923,-0.020843204,0.0028134538,-0.081165805,0.05808893
4,-0.024076883,0.03363162,-0.037515417,0.04535487,0.028523363
,0,1,2,3,4
0,-0.062160775,0.031537686,0.06942977,0.021624578,-0.095217586
1,0.117861554,0.047435205,0.024971768,-0.0649121,0.034271196
2,-0.0026361272,-0.071960084,-0.08445579,-0.13545847,-0.0876332
3,-0.0023894724,-0.0041653053,-0.07898688,-0.15971343,0.0003607425
4,0.020641685,0.013228282,-0.07839926,-0.026271747,-0.033849597
,0,1,2,3,4
0,-0.27647817,-0.29453528,-0.30389604,-0.13145936,0.014992966
1,-0.30173615,-0.1491325,0.07272889,0.080569,0.16249484
2,-0.05014537,0.08798977,0.09915302,0.084484786,-0.09314657
3,-0.0010358172,0.05804334,-0.009114842,0.01828978,-0.08390861
4,-3.4090743e-05,0.048570734,0.06870337,-0.033622187,0.0014521368
,0,1,2,3,4
0,0.035959348,-0.04731926,-0.06843699,0.090466335,-0.011295782
1,0.09513142,0.055556457,0.010595891,0.09658058,-0.026591675
2,0.04078473,-0.049584486,0.014272414,-0.06048172,0.0017572817
3,-0.10761293,-0.17113647,-0.18542856,-0.13141435,0.14807646
4,-0.0033170723,-0.18814752,-0.0746239,0.045590814,0.14075664
,0,1,2,3,4
0,-0.037537094,0.004019729,-0.058171846,-0.07097853,-0.065987624
1,0.07962522,0.02199145,0.015490001,-0.016144488,-0.07873266
2,0.074225225,-0.047372,-0.13981993,-0.1376113,-0.113919
3,-0.06787796,-0.11739504,-0.1676556,-0.13790466,-0.06280805
4,-0.017990671,-0.044826902,0.022604223,0.07720367,-0.006771001
,0,1,2,3,4
0,-0.06706895,-0.1230246,-0.073200926,-0.02121377,-0.087782495
1,0.009125881,0.10424764,0.00062535144,0.008823103,-0.024316976
2,0.029796477,0.09855251,0.086286806,-0.082575954,-0.080749966
3,-0.07914737,-0.12795696,-0.021768989,-0.17298777,-0.121446915
4,0.037091885,0.0025526588,-0.030952213,-0.15832713,-0.119058006
,0,1,2,3,4
0,0.057040393,-0.0075441813,0.0028868958,0.09354666,-0.0029604451
1,-0.014590803,0.010236816,0.09497797,0.037049673,-0.1000209
2,-0.10218094,-0.109332286,-0.05796215,-0.19338949,-0.08826408
3,-0.08119115,-0.16387717,-0.17607771,0.018880926,0.13349542
4,0.06301824,-0.12092114,-0.07117129,-0.018257804,0.124226935
,0,1,2,3,4
0,-0.23914261,-0.23529083,-0.22060518,-0.09733666,0.03613416
1,-0.021017378,-0.005875475,0.041199632,0.11935971,0.078759
2,0.048381023,0.03495822,0.09272123,0.064217605,-0.1758419
3,-0.03239493,0.03919988,-0.04364809,-0.20331912,-0.082778536
4,0.014400274,-0.079940215,-0.04968862,-0.08845635,-0.04984559
,0,1,2,3,4
0,-0.28325292,-0.23436041,-0.11153864,-0.044092864,0.18158485
1,-0.2095854,0.052654702,-0.03402921,0.06862929,0.20028567
2,0.12455092,0.08364622,-0.012743119,0.070664115,-0.080791816
3,0.10134522,0.1294814,-0.034717213,-0.04276392,-0.11132791
4,0.020358188,0.010643477,0.0756437,-0.070194,-0.041390885
,0,1,2,3,4
0,-0.22745539,-0.25406122,-0.43080658,-0.11983711,0.061699927
1,-0.26413724,-0.062679455,0.07859289,0.08339806,0.100429565
2,0.054660443,0.09757817,0.023874888,0.040173452,-0.05238511
3,0.05500565,0.091929995,0.058974244,-0.01174457,-0.059959665
4,-0.08854298,0.0008402109,0.09614038,-0.007424875,0.2230292
,0,1,2,3,4
0,-0.020473575,0.04465794,-0.027520375,-0.020352688,0.0059073605
