,0
0,0.005124947
1,-0.047942854
2,0.00449744
3,0.024343839
4,0.030312695
5,-0.0060169073
6,0.024204424
7,0.03176686
8,0.008818055
9,0.024409669
10,-0.0093040485
11,0.010784953
12,0.055829935
13,0.005492683
14,0.048105348
15,0.009726046
16,0.01667239
17,0.03407273
18,0.018670756
19,0.013336328
20,0.047174215
21,0.041982662
22,0.076712504
23,0.03938069
24,-0.027673375
25,0.007960447
26,-0.019984357
27,-0.0046879714
28,-0.015054699
29,-0.05463741
30,-0.009652331
31,0.013095956
32,-0.03007084
33,0.0027601835
34,0.051985703
35,-0.028992785
