,0,1,2,3,4
0,0.22480537,0.046846118,-0.32263494,-0.4459363,-0.24720159
1,0.038618732,-0.60454273,-0.35541087,-0.10180055,-0.020268904
2,-0.31695738,-0.4256076,0.06415109,0.20409112,0.12944484
3,-0.58047694,0.01059786,0.22652403,0.14209795,0.118022345
4,-0.3522823,0.16489477,0.14029983,0.13614126,0.086728744
,0,1,2,3,4
0,0.05573054,-0.030196218,0.16253486,0.14524621,-0.008265269
1,0.0153918965,-0.024681404,0.14493991,0.09616766,-0.047493216
2,-0.024350261,-0.012740683,-0.019259244,-0.034506068,0.09060369
3,0.07188049,0.07956724,-0.035193298,0.10698488,0.037306532
4,-0.055296328,-0.047537573,0.08562243,-0.05515289,0.020302434
,0,1,2,3,4
0,-0.2681569,-0.3334908,-0.20408711,-0.14798309,-0.0828729
1,-0.2746977,-0.31454697,-0.2730716,-0.18488094,-0.1226841
2,0.07618947,-0.027974628,-0.01727257,0.059088554,0.051749617
3,0.26886928,0.22911808,0.24856248,0.14681417,0.06955522
4,0.2236349,0.24995193,0.1624175,0.09322522,0.044084948
,0,1,2,3,4
0,-0.003483141,0.10194065,-0.04364528,-0.16250388,-0.33571908
1,0.122360684,0.09663783,-0.02705897,-0.26772594,-0.24402395
2,0.014967997,0.090934455,0.05814777,0.084213935,0.13364094
3,-0.06235757,0.09869984,0.13968435,0.22703624,0.06362858
4,-0.004538387,-0.020860346,0.09010006,0.009869096,0.033861913
,0,1,2,3,4
0,0.1777506,0.30454445,0.23859142,0.14911191,0.122583956
1,0.21619178,0.14535199,0.06756713,0.11333738,-0.041010045
2,0.023263304,-0.08426281,-0.056918904,-0.05091906,-0.059198968
3,-0.15165159,-0.18777049,-0.2375142,-0.22894467,-0.10062336
4,-0.13999094,-0.25395298,-0.112734385,0.00067400694,0.052023124
,0,1,2,3,4
0,-0.22215256,-0.2368304,0.008674966,0.08357825,0.109135985
1,-0.2573534,-0.09946399,0.06769327,0.20805623,0.15759878
2,-0.12773278,-0.029657427,0.14501311,0.19622128,0.026977602
3,-0.14237185,0.026807336,0.104138084,0.16613196,0.06864256
4,-0.09195397,0.03258344,0.01696019,0.1597394,0.06250912
,0,1,2,3,4
0,-0.01424884,-0.18171215,-0.29258785,-0.22857912,-0.110733666
1,0.104589544,0.09016516,0.11678369,-0.008541207,0.04086189
2,0.2043102,0.28318542,0.15426198,0.18187478,0.10310406
3,-0.117031865,0.04987089,0.09446528,0.022311468,-0.027148372
4,-0.27919397,-0.2470022,-0.14566231,0.070246406,0.09763168
,0,1,2,3,4
0,-0.03389247,-0.022076422,0.037009835,-0.008429018,-0.021686288
1,0.043332655,0.05392967,0.2056637,0.14349045,0.0318652
2,0.1487444,0.12695736,0.08035123,0.25847945,0.20103315
3,-0.016013652,-0.10263269,-0.19473009,-0.03143602,0.16191725
4,-0.13531834,-0.32045448,-0.37692884,-0.18774262,-0.016472798
,0,1,2,3,4
0,-0.26306468,-0.24896707,-0.060463507,0.0554967,0.12763512
1,-0.3462942,-0.08974305,0.040149417,0.104567505,0.17664273
2,-0.18249728,-0.05878158,0.14278732,0.15738207,0.063667886
3,-0.06182354,0.06610149,0.10471412,0.1699197,0.09768187
4,0.09382647,0.041168567,0.08785705,0.01182953,0.07156589
,0,1,2,3,4
0,-0.06581581,-0.051265296,0.16188312,0.17513381,0.14193349
1,0.16409698,0.278695,0.22709632,0.17358053,0.16886064
2,0.19909434,0.13779956,-0.036553122,-0.0054645245,0.09705998
3,-0.09560407,-0.19765398,-0.11809267,-0.17083916,0.037744492
4,-0.30173042,-0.28337717,-0.22808646,-0.16578105,-0.10249458
,0,1,2,3,4
0,0.13375196,0.25233108,0.17926094,0.026391312,-0.0065969806
1,0.128174,0.1904455,0.10184596,-0.016870985,-0.24159887
2,0.099266484,0.18941736,0.017044412,-0.24896628,-0.22643206
3,0.11701303,0.038249385,-0.021501323,-0.2972043,-0.26620284
4,0.104893215,0.053554345,-0.1699864,-0.36118108,-0.15103166
,0,1,2,3,4
0,0.10487867,0.20808351,0.2504083,0.13329826,0.21461786
1,0.20657142,0.20095544,0.19751187,0.24604914,0.057115182
2,-0.09218918,-0.05772783,-0.028213535,-0.15843764,-0.13382913
3,-0.23389857,-0.26842946,-0.31904042,-0.2815917,-0.10031719
4,-0.16577025,-0.22906534,-0.148825,-0.0116687445,0.029513678
,0,1,2,3,4
0,0.085114725,0.040884744,0.037201058,-0.23279968,-0.2382364
1,0.095787495,0.1917228,0.12032086,-0.099675596,-0.30245122
2,-0.13062838,0.10660418,0.28791347,0.06373505,-0.09750661
3,-0.2207772,0.03989114,0.21782778,0.24688567,0.08398763
4,-0.34341347,-0.2473001,0.065623276,0.05995776,0.13840649
,0,1,2,3,4
0,-0.22233295,0.03020736,0.01031971,0.079872094,0.07360156
1,-0.12473104,0.027647138,0.13449283,0.11299785,0.05379663
2,-0.0041056266,0.039033685,0.10991588,0.03311245,-0.11461738
3,0.04064848,0.096494965,0.07101247,-0.011147773,-0.038777582
4,-0.012244394,0.007462942,-0.018760446,0.105000064,-0.0075741364
,0,1,2,3,4
0,0.077144764,0.08665998,-0.017336605,-0.12051509,-0.31841937
1,0.101230524,0.10844036,-0.011328367,-0.13117151,-0.20967358
2,0.104689375,0.13644242,0.10728659,-0.01649542,0.019552696
3,0.01619313,0.15636799,0.12481757,0.093354814,-0.028049832
4,-0.0059310235,0.03922305,-0.054592013,0.09782803,0.12787904
,0,1,2,3,4
0,0.20206404,0.29367837,0.19330923,-0.07660614,-0.15877932
1,0.29471505,0.17631546,-0.16402946,-0.31568623,-0.14538223
2,0.26455456,0.039838094,-0.23859824,-0.43635577,-0.035545178
3,0.16903818,-0.12837574,-0.40581596,-0.35999557,0.08215092
4,0.02713256,-0.09127579,-0.24924256,-0.043102194,0.16603835
