,0
0,0.05780939
1,0.07778646
2,0.039655115
3,0.025992583
4,0.07862556
5,0.044687804
6,0.04629829
7,0.022721387
8,0.027248217
9,0.04060647
10,0.043995053
11,0.046715055
12,0.019807076
13,0.042438224
14,0.074860476
15,0.064454526
16,0.042087268
17,0.025172435
18,0.07411207
19,0.07839343
20,0.081058085
21,0.044267707
22,0.060180597
23,0.064430624
24,0.03641969
25,0.03900722
26,0.04059291
27,0.046680707
28,0.03092641
29,0.029905891
30,0.09582944
31,0.014913911
32,0.015470057
33,0.028432718
34,0.09009445
35,0.05892598
36,0.07995405
37,0.10233248
38,0.008975484
39,0.009827568
40,0.026550151
41,0.0023584103
42,0.04052257
43,0.0546079
44,0.061228238
45,0.046254717
46,0.074400015
47,0.04376925
48,0.08017428
49,0.04393604
50,0.043488126
51,0.016262585
52,0.092918426
53,0.06916293
54,0.01761796
55,0.041387264
56,0.032459848
57,0.033883862
58,0.0443858
59,0.043972123
60,0.004885899
61,0.06553552
62,0.02540145
63,0.038226638
64,0.023227828
65,-0.007656486
66,0.035934303
67,0.07809396
68,0.043534584
69,0.01124967
70,0.02951248
71,0.038459145
72,0.044728156
73,0.069140226
74,0.048555087
75,0.041420523
76,0.054749075
77,0.052318867
78,0.08173468
79,0.032839693
80,0.043082792
81,0.059536267
82,0.04221445
83,0.016217444
84,0.0833202
85,0.046175092
86,0.08325019
87,0.07678199
88,0.061947007
89,0.036449637
90,0.055251304
91,0.0495752
92,0.05565286
93,0.06648618
94,0.031712897
95,0.020240968
96,0.07121715
97,0.07160617
98,0.024107201
99,0.03649182
100,0.08065022
101,0.07545653
102,0.043445475
103,0.040339123
104,-0.009750028
105,0.047279995
106,0.057738196
107,0.055387944
108,0.019193137
109,0.031356327
110,0.038586445
111,0.01714596
112,0.06220167
113,0.03706061
114,0.06693928
115,0.055530623
116,0.033966094
117,0.073743455
118,0.041884933
119,0.041897167
120,-0.0063197943
121,0.06592919
122,0.06357868
123,0.075991236
124,0.043863628
125,0.048691522
126,0.040654056
127,0.044554934
