,0,1,2,3,4
0,-0.15638545,-0.11907314,-0.07731625,-0.093246095,-0.03202365
1,-0.24402234,-0.16320601,-0.16161238,0.03550869,-0.11960783
2,-0.0015749771,-0.14239942,-0.08205434,-0.1622321,-0.27015823
3,0.010621171,-0.16913909,-0.15639398,-0.43264952,-0.27745143
4,0.2763532,0.26292557,0.02867172,-0.20886464,-0.19403538
,0,1,2,3,4
0,0.036724888,0.09967716,0.016511546,0.037036993,0.012705483
1,0.04153116,0.05161545,-0.004893102,0.0467483,0.024722708
2,-0.047423486,-0.05008061,-0.01998294,0.09441268,-0.100379996
3,0.0013619126,0.027906531,0.062344495,0.02383765,0.024639975
4,-0.04836618,-0.027879106,-0.015810894,0.070576385,-0.064198986
,0,1,2,3,4
0,-0.17671566,-0.3757806,-0.26186627,0.021116573,0.063838966
1,-0.3383757,-0.19163929,-0.063706234,0.013168026,-0.029267123
2,-0.22632205,0.00077180925,0.070768185,0.06036987,0.092990056
3,-0.17845078,-0.20676799,-0.1848617,-0.21813966,-0.15777314
4,-0.02459011,0.053898696,0.14235686,0.10093787,-0.05557513
,0,1,2,3,4
0,-0.023984602,-0.0041953507,0.05029995,-0.028050032,0.061786897
1,0.04131498,-0.047076,-0.014041117,-0.039696436,0.0059223594
2,0.08032122,0.065270774,-0.0021158499,0.12972932,0.07674276
3,0.011426388,-0.15786824,-0.038409647,0.075984575,0.11518603
4,-0.0031506268,0.030194053,-0.025855593,-0.10682733,0.05396528
,0,1,2,3,4
0,-0.038970966,0.080651276,0.13239829,-0.13233514,0.091980204
1,-0.12447366,-0.021433407,-0.0732358,-0.019500677,0.09409527
2,-0.06574717,-0.16738373,-0.22219655,-0.28720656,-0.21514337
3,0.0045447894,0.092476554,0.071101524,-0.0053184647,-0.04181477
4,0.07886581,0.07667041,-0.06613868,0.009040088,0.0064856037
,0,1,2,3,4
0,0.047275256,-0.010959953,-0.0077323867,0.07391571,0.019826032
1,0.034072917,-0.08160103,0.03087118,-0.013081608,0.008129936
2,0.08017076,-0.098538265,0.09054662,0.043134898,-0.022685632
3,-0.077193305,0.012100903,0.13995379,0.09912991,-0.027175238
4,-0.08270998,-0.048633993,0.12840702,0.034498915,-0.06230959
,0,1,2,3,4
0,0.019379886,-0.13489887,0.08095839,-0.06499979,-0.07411727
1,-0.07828462,-0.11607612,-0.034923732,-0.1489899,-0.035335846
2,-0.06333781,-0.016661609,0.15049262,0.023632273,0.09792062
3,0.025907844,0.003256685,0.055666517,0.036274385,0.16981861
4,-0.08294154,-0.11636008,-0.072225034,-0.021147188,0.016628157
,0,1,2,3,4
0,-0.0062736087,0.10168715,0.03806779,-0.066235125,0.0952542
1,0.07287536,0.10010721,0.052251525,0.03043764,0.0874936
2,-0.015532224,-0.0011401647,0.08575956,-0.009018733,-0.009844607
3,0.07116422,0.041360952,0.073731475,0.048739627,-0.005690369
4,-0.065872274,-0.1959266,-0.013182534,0.007340461,-0.032179818
,0,1,2,3,4
0,0.12285761,-0.00016413553,-0.049748857,0.06019538,0.055085536
1,0.0096352035,-0.10149549,0.05637962,0.08686762,-0.02642974
2,0.044226605,0.01819308,-0.0062221554,0.0013292928,-0.09868195
3,-0.0024911612,-0.03382275,0.060156863,-0.024440017,-0.10134727
