,0
0,0.004098992
1,-0.053625748
2,-0.010428374
3,0.014070745
4,0.022482526
5,-0.017500825
6,0.023870211
7,0.033451214
8,0.01260858
9,0.014052528
10,-0.009758685
11,0.013821254
12,0.051173832
13,-0.0042190696
14,0.051289976
15,0.0029265217
16,-0.0015919678
17,0.02729477
18,0.021612477
19,0.01633469
20,0.038489606
21,0.03553453
22,0.066832356
23,0.027463317
24,-0.042416036
25,-0.006809183
26,-0.019303193
27,-0.0045732856
28,-0.015350358
29,-0.071864374
30,-0.010433397
31,-0.0031737648
32,-0.031211643
33,0.0041221827
34,0.03318154
35,-0.015197157
