,0,1,2,3,4
0,0.23588987,0.059136033,-0.33746475,-0.45388833,-0.24723677
1,0.041416552,-0.62876505,-0.38283774,-0.11135926,-0.014502004
2,-0.3351444,-0.44280753,0.05519763,0.20911911,0.1393626
3,-0.605637,-0.001046164,0.2179889,0.14196375,0.11521045
4,-0.36480045,0.16050635,0.12535667,0.122740015,0.07558353
,0,1,2,3,4
0,0.0350483,-0.044370133,0.15086514,0.13115974,-0.023097657
1,0.0009628206,-0.039481282,0.13350898,0.08805841,-0.050698336
2,-0.039480485,-0.03078807,-0.037242062,-0.04268459,0.088322476
3,0.06305239,0.06393416,-0.053557888,0.09103675,0.042488463
4,-0.057829548,-0.049715936,0.08227172,-0.056546245,0.029760852
,0,1,2,3,4
0,-0.26693323,-0.33156592,-0.19852096,-0.14027177,-0.07426002
1,-0.26265767,-0.31084335,-0.27058387,-0.1822423,-0.11628347
2,0.08364497,-0.026495425,-0.014964824,0.064711936,0.057459667
3,0.268693,0.22917067,0.25036797,0.1537633,0.07625009
4,0.22025898,0.2483821,0.16551685,0.105185844,0.05186278
,0,1,2,3,4
0,-0.0075104204,0.097008616,-0.04230785,-0.15068913,-0.32876167
1,0.11603445,0.090799674,-0.018288707,-0.24358371,-0.23355229
2,-0.007836957,0.07994792,0.057349317,0.09369742,0.13893062
3,-0.07394196,0.09441409,0.1380505,0.22958997,0.060333367
4,-0.011814827,-0.025062514,0.0955739,0.012862412,0.030589156
,0,1,2,3,4
0,0.17820095,0.30194616,0.24060287,0.14849293,0.123233125
1,0.2173417,0.14191003,0.0627197,0.106529444,-0.0556418
2,0.028372636,-0.08990309,-0.061809693,-0.062108006,-0.07613322
3,-0.14290471,-0.19745982,-0.25101578,-0.2478362,-0.114508525
4,-0.12944615,-0.25106454,-0.121855766,-0.012242674,0.041640844
,0,1,2,3,4
0,-0.22399063,-0.23467727,0.01045569,0.088987425,0.11851191
1,-0.25977635,-0.097756095,0.06478252,0.2102607,0.16180289
2,-0.13203464,-0.043917667,0.13694403,0.19467637,0.025507644
3,-0.13879256,0.021273373,0.098512135,0.16613112,0.06992195
4,-0.08944957,0.032966617,0.01561627,0.15696453,0.064542875
,0,1,2,3,4
0,-0.014646432,-0.17849906,-0.2884769,-0.22745322,-0.102280594
1,0.100214995,0.08898018,0.12124259,-0.0043846564,0.04782528
