,0,1,2,3,4
0,0.04569874,0.066054,0.06744058,0.079145364,0.005858539
1,0.03389617,0.024477057,0.028366644,0.022084175,-0.059181057
2,0.099573396,-0.029754478,0.02744934,-0.07543708,-0.10770532
3,0.009008656,-0.07605626,-0.16701052,-0.1437674,-0.010527972
4,0.003460429,-0.1564246,-0.09703334,-0.07399436,-0.047380026
,0,1,2,3,4
0,-0.06542611,-0.00068907975,-0.051989757,0.027576638,0.088194385
1,0.12602772,-0.032436553,-0.15231301,0.008632647,-0.21498187
2,-0.1113801,-0.16912936,-0.3209502,-0.21610059,-0.13636976
3,0.012474275,-0.07794946,-0.03772323,-0.07154843,0.07402517
4,-0.06550374,-0.0022877078,-0.044839077,0.059520163,0.041633237
,0,1,2,3,4
0,-0.053208183,-0.0040809503,0.028296597,0.032798436,-0.1467026
1,0.08199718,-0.047230367,-0.083610445,-0.16000772,0.03039251
2,-0.006093501,-0.081935614,-0.114555664,-0.12468647,-0.057797976
3,-0.002038234,-0.026281096,-0.13378653,-0.1425789,0.020843642
4,0.010043511,-0.020614691,-0.086584955,-0.013678923,-0.047669344
,0,1,2,3,4
0,-0.30268407,-0.40783572,-0.41449866,-0.13116333,0.033877734
1,-0.33057776,-0.10271746,0.13693959,0.12561108,0.1849511
2,-0.057571024,0.08512101,0.0854433,0.0819745,-0.11034507
3,-0.032769736,0.016872486,-0.06997179,-0.031093376,-0.13245603
4,-0.016710658,0.0397381,0.081747696,-0.09032514,0.02276555
,0,1,2,3,4
0,0.095059276,-0.024490759,-0.043002456,0.11741114,0.005904998
1,0.15380394,0.044629175,0.0018653331,0.12960163,-0.07128559
2,0.050662022,-0.09637576,0.018612156,-0.009091256,-0.00027249462
3,-0.13654226,-0.26109254,-0.19908251,-0.07650377,0.16733012
4,-0.012123862,-0.2479163,-0.027002644,0.09947026,0.1452628
,0,1,2,3,4
0,-0.046833303,0.014464785,-0.02879735,-0.03091521,-0.068100065
1,0.05244787,-0.024541734,-0.053585198,-0.13550024,-0.20541218
2,0.027276969,-0.15128997,-0.2772311,-0.20819722,-0.14923735
3,-0.11496882,-0.11751163,-0.14833196,-0.14857626,-0.1043758
4,-0.0030550084,-0.1031558,0.038549922,0.038076285,-0.058405925
,0,1,2,3,4
0,-0.058311787,-0.1844252,-0.023050608,0.018482756,-0.038743544
1,0.016443836,0.12812091,0.029772291,0.02663758,-0.021468733
2,0.0058114063,0.05797184,0.056931242,-0.11284161,-0.12895039
3,-0.12003118,-0.18938522,-0.075740844,-0.25870684,-0.17557725
4,0.017166698,-0.068589866,-0.05499356,-0.28331047,-0.2044791
,0,1,2,3,4
0,0.10623447,0.012975511,0.016548833,0.11496776,0.02798036
1,0.036424022,-0.00071268505,0.07844896,0.06680528,-0.1351635
2,-0.09758845,-0.16321214,-0.047552325,-0.14423734,-0.085874274
3,-0.1043586,-0.24450092,-0.19278075,0.06678803,0.16902867
4,0.05113517,-0.17536591,-0.043031238,0.026954979,0.1417952
,0,1,2,3,4
0,-0.31522757,-0.33742866,-0.21477243,-0.066116385,0.09919275
1,-0.003315805,0.03877378,0.07609972,0.14474697,0.09440702
2,0.036711123,0.005987143,0.06986057,0.052407395,-0.21186098
3,-0.07430029,-0.028199704,-0.11107018,-0.23467004,-0.053145487
4,0.0154864825,-0.12890886,-0.076109886,-0.18435228,-0.05468232
,0,1,2,3,4
0,-0.36327988,-0.31377065,-0.121007435,-0.006189513,0.23082218
1,-0.22090538,0.11999053,-0.02117446,0.0867961,0.21754487
2,0.1354287,0.10881515,-0.036351193,0.043615688,-0.13161261
3,0.105735645,0.11391488,-0.09725168,-0.11961838,-0.10806107
4,0.053685535,0.037688565,0.08731828,-0.122289814,0.0033104082
,0,1,2,3,4
0,-0.29170462,-0.40312037,-0.500057,-0.12102972,0.084862106
