,0
0,0.0061172647
1,-0.04493461
2,0.0051096384
3,0.019664103
4,0.035988394
5,-0.0009969505
6,0.023053193
7,0.038224082
8,0.019895488
9,0.018885927
10,-0.013015569
11,0.008029501
12,0.05514566
13,-0.0056880927
14,0.047879383
15,0.007657345
16,0.020335658
17,0.033026554
18,0.01839702
19,0.01134038
20,0.043291982
21,0.037978705
22,0.076640494
23,0.031622652
24,-0.027187414
25,-0.010753852
26,-0.012074582
27,-0.004035414
28,-0.012284522
29,-0.052742943
30,-0.011767569
31,0.013190311
32,-0.027695417
33,0.0047451323
34,0.0457639
35,-0.020577706
