,0,1,2,3,4
0,0.2129773,0.037482895,-0.33054677,-0.45010713,-0.24923734
1,0.03210015,-0.5950314,-0.3495978,-0.110060714,-0.02417147
2,-0.31567162,-0.4236985,0.04963271,0.1955059,0.12219519
3,-0.5752779,0.005851387,0.22048296,0.13743879,0.11091058
4,-0.3531581,0.16256091,0.14092499,0.13351108,0.08208157
,0,1,2,3,4
0,0.056938563,-0.032858875,0.15918157,0.14028707,-0.0106601175
1,0.017237509,-0.02639097,0.14180608,0.092348844,-0.050822426
2,-0.020127213,-0.013712881,-0.019044831,-0.037843227,0.08570054
3,0.077480465,0.08644994,-0.02525606,0.1114461,0.036177322
4,-0.04715409,-0.036496375,0.09672346,-0.050525993,0.019844761
,0,1,2,3,4
0,-0.27213576,-0.33933476,-0.20777379,-0.14822443,-0.07576274
1,-0.27211106,-0.310108,-0.2667216,-0.17796569,-0.11287644
2,0.07427999,-0.027295152,-0.014489338,0.06341442,0.05579632
3,0.26666397,0.22882426,0.24891014,0.14920107,0.0718546
4,0.22289349,0.24724056,0.16164865,0.093023755,0.044375814
,0,1,2,3,4
0,-0.0055843345,0.098489396,-0.04775018,-0.17143035,-0.34167567
1,0.11969482,0.09245727,-0.03227249,-0.27545825,-0.24778812
2,0.014599618,0.084944785,0.05107044,0.07793223,0.13249958
3,-0.056723423,0.09925356,0.14002405,0.22580032,0.06752318
4,0.0019201929,-0.022067752,0.0865063,0.005332211,0.03617038
,0,1,2,3,4
0,0.18136981,0.30901012,0.24251956,0.15499687,0.13065612
1,0.21948496,0.14862981,0.06780321,0.11622758,-0.031165836
2,0.024583079,-0.085297346,-0.060211007,-0.04786228,-0.053437497
3,-0.15393084,-0.19011502,-0.24090959,-0.22041623,-0.09577908
4,-0.14917299,-0.2597371,-0.1201799,0.0011088711,0.055212773
,0,1,2,3,4
0,-0.22185807,-0.22938551,0.011467068,0.083798245,0.10852859
1,-0.2514913,-0.09489037,0.0673148,0.20632844,0.15437031
2,-0.12196229,-0.025177162,0.14803495,0.19580504,0.024266696
3,-0.13436654,0.032552645,0.11074546,0.1687117,0.06578927
4,-0.086060025,0.038038325,0.022789469,0.16252697,0.061762072
,0,1,2,3,4
0,-0.018204417,-0.17918819,-0.28652227,-0.22200164,-0.108620696
1,0.10043177,0.08892228,0.12048457,-0.0070415526,0.04046738
2,0.19848275,0.27488348,0.14976744,0.18002206,0.10527915
3,-0.12602705,0.03900223,0.08881366,0.018273532,-0.027085451
4,-0.28524956,-0.2507138,-0.14875402,0.06798618,0.100658245
,0,1,2,3,4
0,-0.0392858,-0.024925621,0.03271524,-0.010886063,-0.01714886
1,0.044441395,0.055947203,0.20010199,0.13628908,0.037557542
2,0.14316958,0.12586987,0.07219014,0.24654113,0.19823912
3,-0.024221689,-0.108812355,-0.20427041,-0.041544285,0.15565136
4,-0.14677759,-0.32848564,-0.38119948,-0.1910991,-0.02227081
,0,1,2,3,4
0,-0.26102585,-0.23935065,-0.05152649,0.059306484,0.12883253
1,-0.3347597,-0.08041817,0.044618666,0.10494414,0.1744124
2,-0.17159098,-0.050203342,0.14901951,0.16072766,0.06509291
3,-0.04892835,0.07282266,0.11105902,0.17555204,0.10082953
4,0.10305,0.04297956,0.091251016,0.012368356,0.06996514
,0,1,2,3,4
0,-0.065781176,-0.04863484,0.16016102,0.17341101,0.1447721
1,0.1651842,0.2821527,0.23190752,0.17833455,0.17525277
2,0.19612566,0.13694882,-0.03182597,-0.0010910447,0.09720039
3,-0.096938744,-0.1993537,-0.11760211,-0.16717497,0.038401317
4,-0.30357718,-0.28754795,-0.22838005,-0.16179495,-0.09881823
,0,1,2,3,4
0,0.13987647,0.25723737,0.18383297,0.03463684,0.0040583955
1,0.13472888,0.19608802,0.10659436,-0.011890632,-0.23411587
2,0.102205,0.19380945,0.018528543,-0.25148138,-0.22383858
3,0.12161042,0.04323835,-0.019775597,-0.29674843,-0.26599526
4,0.108056635,0.057207126,-0.16620521,-0.35790378,-0.14993657
,0,1,2,3,4
0,0.107246965,0.2113535,0.25235936,0.13537827,0.21953666
1,0.20970595,0.20446141,0.19933748,0.24755196,0.06353629
2,-0.090529375,-0.05822987,-0.02661231,-0.15230739,-0.12663177
3,-0.23139372,-0.2679847,-0.31576788,-0.27210647,-0.095316865
4,-0.16633148,-0.23046722,-0.14922577,-0.007726097,0.0314316
,0,1,2,3,4
0,0.08735528,0.043529745,0.039984893,-0.2324423,-0.23699978
1,0.100471,0.18861963,0.115105614,-0.10142826,-0.30293196
2,-0.123915285,0.10462495,0.2821963,0.058510736,-0.097678944
3,-0.20904562,0.04579726,0.21940947,0.24460971,0.08646417
4,-0.33483833,-0.23623225,0.07181403,0.061829593,0.14435299
,0,1,2,3,4
0,-0.21524617,0.039066434,0.013443284,0.079331115,0.073215336
1,-0.11299415,0.03769245,0.13528922,0.11280403,0.051696602
2,0.006850932,0.045184523,0.111480966,0.032210622,-0.11788784
3,0.047953095,0.10280495,0.07730593,-0.009995912,-0.041417643
4,-0.006322465,0.011949601,-0.013653727,0.105021425,-0.009891135
,0,1,2,3,4
0,0.07707557,0.086081125,-0.017184382,-0.12571198,-0.32403848
1,0.100484446,0.1053904,-0.01435286,-0.14142275,-0.21587385
2,0.10747403,0.1337203,0.1007475,-0.023479449,0.01894014
3,0.023298925,0.15670748,0.12308307,0.09118692,-0.026727296
4,-0.0009190689,0.03867272,-0.057440747,0.0945888,0.12579553
,0,1,2,3,4
0,0.20748264,0.2970463,0.20001735,-0.068894275,-0.15197325
1,0.2992326,0.18094432,-0.15496548,-0.30349103,-0.14191934
2,0.2667869,0.04526935,-0.23130004,-0.42713228,-0.040932532
3,0.17704797,-0.116673864,-0.39292717,-0.35898316,0.07589207
4,0.036244337,-0.07886365,-0.23558801,-0.041466113,0.16460744
