,0
0,0.06432632
1,0.06958561
2,0.044293065
3,0.03969537
4,0.06125933
5,0.044687804
6,0.04582761
7,0.022721387
8,0.025946364
9,0.04060647
10,0.043995053
11,0.053730976
12,0.019807076
13,0.042438224
14,0.079582535
15,0.06369727
16,0.042088322
17,0.025172435
18,0.07124031
19,0.07724071
20,0.08420691
21,0.044267707
22,0.06322484
23,0.061212823
24,0.03641969
25,0.03900722
26,0.04059291
27,0.044728484
28,0.039136704
29,0.009617605
30,0.08570123
31,0.0142843025
32,0.015470057
33,0.022252899
34,0.08343457
35,0.06537028
36,0.08354331
37,0.10717138
38,0.03102818
39,0.015782049
40,0.025260026
41,0.0128127625
42,0.04052257
43,0.055678643
44,0.070995465
45,0.052948277
46,0.07911849
47,0.04376925
48,0.087459534
49,0.04393604
50,0.043488126
51,0.016262585
52,0.09291768
53,0.056265317
54,0.008411268
55,0.04151906
56,0.032460112
57,0.035304308
58,0.0443858
59,0.043972123
60,0.0097620655
61,0.066128306
62,0.022202814
63,0.040718444
64,0.036696907
65,-0.007656486
66,0.040293444
67,0.07988069
68,0.043534584
69,0.026548943
70,0.024899282
71,0.048241105
72,0.043342438
73,0.074473746
74,0.060220495
75,0.041420523
76,0.0649969
77,0.057256237
78,0.0840731
79,0.04108124
80,0.043082792
81,0.06948698
82,0.042259138
83,0.016217444
84,0.0781312
85,0.053839024
86,0.08423001
87,0.06881822
88,0.07129915
89,0.036449637
90,0.060224213
91,0.051302157
92,0.059030842
93,0.07588914
94,0.03142959
95,0.023943769
96,0.06542488
97,0.07544371
98,0.017970411
99,0.03649182
100,0.074454755
101,0.07410287
102,0.043445475
103,0.044357944
104,-0.009750028
105,0.04607988
106,0.064444594
107,0.051174033
108,0.0056770635
109,0.0369572
110,0.046191566
111,0.01714596
112,0.059487082
113,0.029880594
114,0.0645634
115,0.06388087
116,0.033966094
117,0.0735457
118,0.041880894
119,0.043390792
120,-0.0063197943
121,0.069708265
122,0.053577483
123,0.08058872
124,0.043863628
125,0.04627761
126,0.040654056
127,0.044555653
