0,1,2,3,4,5,6,7,8,9
-0.010387526,-0.014100861,-0.046179112,-0.049465258,-0.07312633,-0.042795848,-0.010582289,-0.08073081,-0.04945685,0.151216
0.118460685,-0.20187086,-0.19208553,0.08726294,-0.2337291,0.0947182,0.050111398,-0.07848861,0.06955399,-0.15409267
-0.32210648,-0.040321752,-0.10178202,0.056290854,0.021873938,0.048342776,-0.29293305,0.05958215,0.04185848,0.047471404
-0.15887518,0.07423913,-0.1184534,-0.06780843,0.054658066,-0.17318495,-0.25850213,0.124152556,-0.21836734,0.10148217
0.069373704,0.12707222,0.056198344,0.0880485,-0.18844588,0.07029148,-0.06865087,-0.064104386,-0.1257483,-0.20560314
-0.21827047,0.028673243,-0.20799285,0.08421267,0.068241455,0.06402408,-0.25097087,0.09280525,0.022659069,0.07685674
-0.26282108,-0.02294854,0.077356845,-0.13826698,0.06300059,-0.2343755,-0.06551354,-0.10497321,0.10587649,0.090637304
-0.14967212,-0.16886096,-0.04952128,0.038464993,0.156546,0.1423239,0.015955428,-0.06147303,-0.23220876,0.08368305
0.020823153,-0.027337683,-0.1598536,-0.23337455,-0.15392472,0.07955899,0.09511771,-0.223185,0.090473175,-0.13063976
-0.020705462,-0.08570358,0.07372851,-0.022151219,0.06300851,-0.03736101,0.028903337,-0.049424846,-0.011994684,-0.04634027
0.06715136,-0.04434955,-0.061789922,-0.072232194,-0.02167385,-0.0917015,0.044766795,-0.040083572,0.06580548,0.057400465
-0.063943684,0.05758995,-0.116765425,0.06763333,-0.0058922954,-0.17673561,0.0541765,0.06179611,0.089785464,-0.30590367
-0.06559135,-0.028477272,-0.11508751,-0.13155042,0.11468221,-0.063981324,0.047586087,-0.07131682,0.046919055,-0.060326345
0.048250347,-0.1962942,0.100615025,0.003720131,-0.09300871,0.08468574,-0.17753698,0.102083266,-0.13645852,0.09639813
-0.1450279,0.08550436,0.02244358,-0.047374643,-0.12744088,0.0110233165,-0.06888096,0.24332409,-0.26691207,-0.11876999
0.020359438,-0.16010217,0.062375616,0.071351916,-0.23578238,-0.08387379,-0.26774105,0.07144741,0.040675577,0.06381106
0.029346941,0.073640175,-0.1524444,-0.2645996,-0.083153255,0.11250779,0.0973843,-0.16535714,0.07723845,0.035346318
0.057027746,-0.064790934,-0.08326001,-0.025596524,0.02090874,0.070719585,-0.048607036,-0.008694774,-0.08023144,-0.024691936
-0.16819294,-0.12099469,0.09486652,-0.1688276,-0.07202401,-0.05882327,0.045529813,-0.19284083,-0.11947299,-0.11504337
-0.052186534,-0.05667065,0.0023580273,0.0071633584,-0.03096356,0.06468159,0.031673376,-0.02817273,-0.047708962,-0.014466853
0.059587248,-0.075632736,-0.008865193,0.12485539,-0.20038639,0.15370144,-0.0132275205,-0.2123862,-0.18646501,0.05688343
-0.013690122,0.0019149712,-0.036236875,0.023228258,-0.008021255,-0.0036906626,0.06354056,0.0013366529,0.07094898,0.057106793
-0.35123485,0.11865406,0.10160771,0.092202105,-0.16807303,-0.18535505,-0.17009544,0.09556436,-0.14954612,-0.10801162
-0.0008586351,-0.06875046,0.06456903,-0.14542782,-0.062539294,-0.047442034,0.08735411,-0.009660639,-0.0018641914,-0.036244858
0.12975828,0.020973349,-0.09096052,-0.13878529,0.11447334,-0.13690339,-0.15428904,0.018523678,-0.16017422,0.15233043
0.036250357,0.047880076,-0.020408463,0.00045774563,0.0195714,-0.013421641,-0.09219264,0.022685928,0.0035293153,0.03225116
