,0,1,2,3,4
0,0.2498679,0.07813887,-0.314319,-0.46316332,-0.27391586
1,0.059642132,-0.7167131,-0.41594312,-0.12592922,-0.001132998
2,-0.3632883,-0.5050591,0.058611978,0.23373492,0.17069304
3,-0.6602751,-0.008548261,0.2391999,0.15897171,0.12141706
4,-0.38793305,0.17260896,0.13018185,0.11744421,0.06473456
,0,1,2,3,4
0,0.036484703,-0.046175666,0.13436328,0.11485745,-0.052691817
1,0.0037999984,-0.036231242,0.122232825,0.081232525,-0.08754259
2,-0.033704024,-0.008529117,-0.019371765,-0.026103238,0.0644067
3,0.07565292,0.08736245,-0.03343556,0.1054375,0.023366028
4,-0.055652443,-0.050820578,0.081099086,-0.06164422,0.020799283
,0,1,2,3,4
0,-0.2839164,-0.34311652,-0.21373591,-0.14274794,-0.07977399
1,-0.26672122,-0.3252003,-0.31039935,-0.21227579,-0.12838773
2,0.082493596,-0.039425895,-0.028048966,0.052673116,0.051484693
3,0.2747045,0.23573935,0.2623366,0.15720947,0.07280879
4,0.22107862,0.2536216,0.1769403,0.11983782,0.06313301
,0,1,2,3,4
0,-0.019944943,0.08839891,-0.032752953,-0.13376334,-0.35766792
1,0.10625797,0.08524265,-0.020731753,-0.2634615,-0.2366719
2,-0.009259511,0.09086759,0.05654291,0.1040249,0.16293365
3,-0.04881603,0.109497,0.14261638,0.23584144,0.05815507
4,0.0030599541,-0.0400466,0.07556684,-0.011822643,0.004006784
,0,1,2,3,4
0,0.18455887,0.30662692,0.23821527,0.1320923,0.10096048
1,0.20757772,0.13107447,0.04787392,0.08101521,-0.076939836
2,-0.0011211844,-0.11858925,-0.0844815,-0.09169815,-0.08485126
3,-0.17657213,-0.21701345,-0.30530038,-0.29472274,-0.114122964
4,-0.12349067,-0.23898333,-0.12802225,-0.0019175062,0.05763383
,0,1,2,3,4
0,-0.22493553,-0.25787118,-0.011463442,0.08114901,0.12969913
1,-0.26629072,-0.10237199,0.061074585,0.21586315,0.15594392
2,-0.14128979,-0.05286103,0.12827548,0.20522243,0.015906492
3,-0.1496373,0.022801474,0.096522085,0.17735347,0.07436919
4,-0.11659637,0.035105824,0.016947161,0.16731976,0.056891955
,0,1,2,3,4
0,-0.0020175192,-0.19904293,-0.3236996,-0.27721605,-0.10693705
1,0.10805495,0.08870942,0.10899902,-0.024857692,0.060669903
2,0.20902541,0.31029865,0.1736861,0.19847552,0.126911
3,-0.1586183,0.031991564,0.084719814,0.022608722,-0.022292977
4,-0.31706682,-0.25228763,-0.15190381,0.06649071,0.09349286
,0,1,2,3,4
0,-0.035378262,-0.033541754,0.02620272,-0.016949946,-0.018333163
1,0.042417303,0.06395407,0.22274795,0.15417047,0.022370564
2,0.14642105,0.108573586,0.08706063,0.29421353,0.21835418
3,-0.027249834,-0.1467345,-0.2304127,-0.027197745,0.18524559
4,-0.11493719,-0.31568322,-0.40586156,-0.19282952,-0.0031708025
,0,1,2,3,4
0,-0.26558194,-0.27045596,-0.11346322,0.039696213,0.1406591
1,-0.36838427,-0.10008844,0.025169324,0.11126934,0.18857501
2,-0.19075745,-0.05833007,0.12629052,0.15983385,0.062791124
3,-0.040130142,0.082166106,0.09860657,0.16123787,0.1000666
4,0.10656692,0.056388114,0.08579007,0.001434764,0.069192626
,0,1,2,3,4
