,0
0,0.02419309
1,-0.08509177
2,0.01088278
3,0.0031390686
4,0.03244873
5,-0.040084742
6,0.018850362
7,0.034602206
8,-0.020829305
9,-0.008581195
10,-0.040763292
11,-0.018560458
12,0.06735744
13,-0.0011160193
14,0.060402017
15,0.014478503
16,-0.018209847
17,0.018633725
18,0.02241096
19,0.013612837
20,0.018230435
21,0.02977279
22,0.06713081
23,0.020439606
24,-0.05505369
25,-0.011524281
26,-0.015239826
27,-0.02286362
28,-0.018586423
29,-0.120685615
30,-0.026616491
31,-0.009638333
32,-0.052336995
33,-0.0074273874
34,0.043772087
35,-0.021226687
