,0,1,2,3,4
0,-0.16545908,-0.1527293,-0.06161254,-0.088734925,-0.03869005
1,-0.29902416,-0.208228,-0.18839604,0.045782246,-0.09865239
2,-0.029912448,-0.1922629,-0.06287887,-0.115680896,-0.28290203
3,-0.013220727,-0.15404232,-0.12350049,-0.43002182,-0.30390537
4,0.33131158,0.31079108,0.034322143,-0.27004448,-0.23643
,0,1,2,3,4
0,0.03514809,0.100707576,0.012743035,0.04274682,0.01660917
1,0.037204843,0.041115507,-0.00819301,0.054575853,0.05191127
2,-0.046197474,-0.06096473,-0.040892508,0.10046141,-0.08483254
3,-0.002495824,0.017976657,0.05778865,0.035696525,0.03862793
4,-0.0509021,-0.03285039,-0.010906917,0.0818103,-0.05149516
,0,1,2,3,4
0,-0.17011559,-0.37829828,-0.27905872,0.027112821,0.080762446
1,-0.39018944,-0.21563299,-0.08130401,-0.0042715324,-0.033915315
2,-0.23052375,-0.004679452,0.07706014,0.083257064,0.11858165
3,-0.12392886,-0.17747651,-0.14419392,-0.20464264,-0.16133218
4,-0.029869055,0.08612539,0.16732728,0.10282997,-0.10252853
,0,1,2,3,4
0,-0.013448126,0.0044937963,0.051419523,0.0035149103,0.083968416
1,0.051364046,-0.044235546,-0.039891597,-0.04085857,0.03142586
2,0.08747305,0.06613751,0.005228264,0.13485622,0.09563161
3,0.014072036,-0.13975616,-0.06351075,0.07039564,0.11117794
4,0.0021276756,0.04585155,-0.024050623,-0.1389742,0.030173954
,0,1,2,3,4
0,-0.043080054,0.08661331,0.14426374,-0.13770123,0.098360986
1,-0.13069068,-0.035301127,-0.089495614,-0.019799594,0.10516558
2,-0.05273844,-0.16251387,-0.2327868,-0.30987388,-0.24499945
3,0.004650112,0.10601524,0.06945994,-0.002631805,-0.03741754
4,0.10015945,0.09502818,-0.06162828,0.023467068,0.0059619728
,0,1,2,3,4
0,0.02980659,-0.023712236,0.006467587,0.086612456,0.022386057
1,0.015079226,-0.11165178,0.023276497,0.0052724723,0.023033304
2,0.06514302,-0.12781496,0.08322369,0.051725667,-0.016154086
3,-0.084158674,-0.007996556,0.15691088,0.122687824,-0.02527738
4,-0.104941726,-0.048742916,0.12346103,0.04113176,-0.05287203
,0,1,2,3,4
0,-0.008226401,-0.18132304,0.059700653,-0.04716634,-0.039748017
1,-0.05955869,-0.106608644,-0.054154284,-0.17617327,-0.018857732
2,-0.07651197,-0.012824539,0.1580239,0.030936096,0.120827295
3,0.038993556,0.030411836,0.050789937,0.044551563,0.19144428
4,-0.076061584,-0.115092024,-0.071773894,-0.0046614096,0.034423437
,0,1,2,3,4
0,-0.05165448,0.08061124,0.038265783,-0.052254844,0.10071212
1,0.10477387,0.10078756,0.046829347,0.053601954,0.11042007
2,-0.0009807433,0.00021090699,0.09745077,-0.008837509,0.018592542
