,0
0,0.034725748
1,0.073800206
2,0.04469375
3,0.030290736
4,0.077009946
5,0.04477002
6,0.052260995
7,0.022721387
8,0.024654716
9,0.04060647
10,0.04387624
11,0.041570168
12,0.019807076
13,0.04243295
14,0.08235229
15,0.07324339
16,0.041570056
17,0.025172435
18,0.07847712
19,0.07673742
20,0.082768075
21,0.044267707
22,0.06515523
23,0.06691284
24,0.03641969
25,0.03900722
26,0.04059291
27,0.06033463
28,0.019074881
29,0.008472073
30,0.09265886
31,0.009345144
32,0.015470057
33,0.023338469
34,0.08674976
35,0.07987796
36,0.07737036
37,0.10208337
38,0.007751972
39,0.009476333
40,0.0030163783
41,0.027584948
42,-0.021089446
43,0.054223217
44,0.045163754
45,0.04114728
46,0.081400625
47,0.043754652
48,0.0951781
49,0.0119374525
50,0.043488126
51,0.016262585
52,0.092061795
53,0.073910646
54,0.008673393
55,0.041387264
56,0.032459848
57,0.032806627
58,0.0443858
59,0.043972123
60,-0.004525128
61,0.07051805
62,0.013706824
63,0.039962787
64,0.0268465
65,-0.007656486
66,0.030294819
67,0.056801546
68,0.043534584
69,0.0001696277
70,0.023939647
71,0.03283971
72,0.03483809
73,0.05057395
74,0.04767725
75,0.041420523
76,0.0604597
77,0.035300374
78,0.083245106
79,0.036650673
80,0.043082792
81,0.06484744
82,0.04219909
83,0.016217444
84,0.07177282
85,0.04953558
86,0.07725417
87,0.07952166
88,0.0683842
89,0.036449637
90,0.048442468
91,0.05680946
92,0.07209724
93,0.08325342
94,0.031546205
95,0.024338443
96,0.06807018
97,0.07603512
98,0.022392724
99,0.03649182
100,0.08065189
101,0.08185998
102,0.04356529
103,0.03582919
104,-0.009750028
105,0.039300364
106,0.059428047
107,0.050131522
108,-0.009947619
109,0.018490752
110,0.02926451
111,0.01714596
112,0.058144253
113,0.0473846
114,0.06741804
115,0.06814902
116,0.033966094
117,0.08096041
118,0.031327646
119,0.041897167
120,-0.0063197943
121,0.06908834
122,0.054246273
123,0.07688479
124,0.043863628
125,0.059856612
126,0.014948531
127,0.033379275
