,0,1,2,3,4,5,6,7,8,9
0,-0.16801226,0.07823332,0.09844034,-0.14459325,-0.04542239,-0.13579032,0.14633518,-0.087233126,-0.12908581,-0.068037055
1,-0.039998412,0.055220455,-0.18713836,-0.13533445,0.031511255,0.09657516,0.10826762,-0.20215824,0.024179569,0.026766194
2,-0.13220233,-0.1313985,-0.008771977,0.02167845,0.021791974,-0.026456015,-0.27407578,0.022176942,0.03481141,0.052037455
3,-0.21134812,-0.056771234,-0.045531508,0.0727636,0.07896016,0.066093765,0.064033724,-0.13460903,-0.037907526,0.07171596
4,-0.11704827,-0.21939789,0.08856578,-0.14451054,0.1104746,-0.11433235,-0.25133666,0.065951705,0.09743426,0.037935942
5,-0.009488061,0.052738786,-0.019002737,0.022748187,-0.021348054,-0.083697595,-0.09062558,-0.06313629,0.0068821157,-0.030742213
6,-0.057546698,0.0998911,0.09885876,-0.09504688,0.1525375,0.010182745,0.11011424,-0.19484599,-0.047318373,-0.28028777
7,0.08303145,0.00034871878,0.025979234,0.046402346,0.10128141,0.016630307,0.015730621,0.014201573,0.07687904,0.0102879545
8,-0.24055758,-0.24709743,-0.13422427,0.11566921,-0.26704633,0.10511735,0.047943924,-0.18182546,0.017835112,-0.076217726
9,0.039429575,-0.061043315,-0.078968585,-0.039542865,-0.009101961,0.06603194,0.09340026,-0.011001751,-0.015433694,0.0036019564
10,0.034199044,0.039476458,-0.07564541,-0.05187671,0.033254724,-0.013517209,-0.0138781695,0.034933988,-0.04570331,-0.031655062
11,0.0501091,-0.24967806,-0.11218887,0.08086209,0.07428879,-0.014113204,-0.014994224,0.0020684998,-0.11805601,0.06965375
12,-0.080100134,-0.047364995,-0.0024584658,-0.0064080595,-0.0018448425,-0.017234564,0.039407752,-0.054094885,-0.0392546,-0.020594306
13,0.06565177,-0.0669422,0.0027815336,0.004888188,0.0043571526,0.015441766,0.009517486,0.07914301,-0.04544434,0.015795453
14,0.0072296676,-0.16380788,0.089919984,0.097929165,-0.28632295,-0.042474207,0.023182286,-0.2070568,0.10472108,-0.11767014
15,-0.11775603,-0.12378665,-0.18660252,-0.15491088,0.06800197,0.08386956,0.12722889,0.005621832,0.0916872,0.07574714
16,0.07835863,0.060121447,-0.037833657,0.062232126,-0.031851616,-0.06824922,-0.025257709,-0.014952417,0.03271872,-0.013221432
17,-0.06807988,-0.065896414,-0.036491346,-0.0096868165,-0.07034828,-0.0064297807,0.026184691,-0.00478486,-0.04727629,-0.025591042
18,-0.21513754,-0.015355878,0.11441254,0.11104578,-0.15571807,0.105584234,-0.12017877,-0.17839743,0.103306316,-0.044847276
19,-0.104880355,0.049301628,-0.04489165,-0.09470039,0.073297456,-0.1343581,0.10895656,0.09447319,0.112392336,-0.11415225
20,0.13156779,-0.1348293,-0.18123749,-0.0519037,0.10998542,-0.124605715,0.07664393,-0.14970969,-0.2313934,0.1032982
21,0.07272993,-0.05756928,0.028881079,0.027383562,0.039437678,-0.025280647,0.09118331,0.053335182,0.077717565,0.049481962
22,-0.13232866,0.098013476,-0.1612022,-0.27593607,0.10846549,-0.113079056,0.06218504,-0.0732823,-0.12791574,0.095460616
